name,region,alias,iso,continent
Afghanistan,Asia,Afghanistan,,as
Albania,Europe,Albania,,eu
Algeria,Africa,Algeria,,af
American Samoa,Oceania,American Samoa,,oc
Andorra,Europe,Andorra,,eu
Angola,Africa,Angola,,af
Antigua and Barbuda,South America,Antigua and Barbuda,,sa
Argentina,South America,Argentina,,sa
Armenia,Asia,Armenia,,as
Aruba,South America,Aruba,,sa
Australia,Oceania,Australia,,oc
Austria,Europe,Austria,,eu
Azerbaijan,Asia,Azerbaijan,,as
BRIC,BRIC,BRIC,,
"Bahamas, The",South America,"Bahamas, The",,sa
Bahrain,Middle East,Bahrain,,
Bangladesh,Asia,Bangladesh,,as
Barbados,South America,Barbados,,sa
Belarus,Europe,Belarus,,eu
Belgium,Europe,Belgium,,eu
Belize,South America,Belize,,sa
Benin,Africa,Benin,,af
Bermuda,South America,Bermuda,,sa
Bhutan,Asia,Bhutan,,as
Bolivia,South America,Bolivia,,sa
Bosnia and Herzegovina,Europe,Bosnia and Herzegovina,,eu
Botswana,Africa,Botswana,,af
Brazil,South America,Brazil,BR,sa
Brunei Darussalam,Asia,Brunei Darussalam,,as
Bulgaria,Europe,Bulgaria,,eu
Burkina Faso,Africa,Burkina Faso,,af
Burundi,Africa,Burundi,,af
Cambodia,Asia,Cambodia,,as
Cameroon,Africa,Cameroon,,af
Canada,North America,Canada,,na
Cayman Islands,South America,Cayman Islands,,sa
Central African Republic,Africa,Central African Republic,,af
Chad,Africa,Chad,,af
Chile,South America,Chile,,sa
China,Asia,China,CN,as
Chinese,Asia,China,,as
Colombia,South America,Colombia,,sa
Comoros,Africa,Comoros,,af
Congo,Africa,Congo,,af
"Congo, Dem. Rep.",Africa,"Congo, Dem. Rep.",,af
"Congo, Rep.",Africa,"Congo, Rep.",,af
Costa Rica,South America,Costa Rica,,sa
Cote d'Ivoire,Africa,Cote d'Ivoire,,af
Croatia,Europe,Croatia,,eu
Cuba,South America,Cuba,,sa
Curacao,South America,Curacao,,sa
Cyprus,Europe,Cyprus,,eu
Czech Republic,Europe,Czech Republic,,eu
Denmark,Europe,Denmark,,eu
Djibouti,Africa,Djibouti,,af
Dominica,South America,Dominica,,sa
Dominican Republic,South America,Dominican Republic,,sa
Ecuador,South America,Ecuador,,sa
Egypt,Africa,Egypt,,af
"Egypt, Arab Rep.",Africa,"Egypt, Arab Rep.",,af
El Salvador,South America,El Salvador,,sa
Emerging,BRIC,BRIC,,
Equatorial Guinea,Africa,Equatorial Guinea,,af
Eritrea,Africa,Eritrea,,af
Estonia,Europe,Estonia,,eu
Ethiopia,Africa,Ethiopia,,af
Europe,Europe,Europ,DE,eu
Europe,Europe,Europe,DE,eu
Europe,Europe,European,DE,eu
Faeroe Islands,Europe,Faeroe Islands,,eu
Fiji,Oceania,Fiji,,oc
Finland,Europe,Finland,,eu
France,Europe,France,,eu
French Polynesia,Oceania,French Polynesia,,oc
Gabon,Africa,Gabon,,af
Gambia,Africa,Gambia,,af
"Gambia, The",Africa,"Gambia, The",,af
Georgia,Asia,Georgia,,as
Germany,Europe,Germany,,eu
Ghana,Africa,Ghana,,af
Global,World,Global,,
Greece,Europe,Greece,,eu
Greenland,South America,Greenland,,sa
Grenada,South America,Grenada,,sa
Guam,Oceania,Guam,,oc
Guatemala,South America,Guatemala,,sa
Guinea,Africa,Guinea,,af
Guinea-Bissau,Africa,Guinea-Bissau,,af
Guyana,South America,Guyana,,sa
HK,Asia,Hong Kong,,as
Haiti,South America,Haiti,,sa
Honduras,South America,Honduras,,sa
Hong,Asia,Hong Kong,HK,as
"Hong Kong SAR, China",Asia,"Hong Kong SAR, China",HK,as
Hungary,Europe,Hungary,,eu
Iceland,Europe,Iceland,,eu
India,Asia,India,IN,as
Indonesia,Asia,Indonesia,,as
"Iran, Islamic Rep.",Middle East,Iran,,
Iraq,Middle East,Iraq,,
Ireland,Europe,Ireland,,eu
Isle of Man,Europe,Isle of Man,,eu
Israel,Middle East,Israel,,
Italy,Europe,Italy,,eu
Jamaica,South America,Jamaica,,sa
Japan,Asia,Japan,JP,as
Japanese,Asia,Japan,JP,as
Jordan,Middle East,Jordan,,
Kazakhstan,Asia,Kazakhstan,,as
Kenya,Africa,Kenya,,af
Kiribati,Oceania,Kiribati,,oc
Korea,Asia,Korea,,as
"Korea, Dem. Rep.",Asia,"Korea, Dem. Rep.",,as
"Korea, Rep.",Asia,"Korea, Rep.",,as
Kosovo,Europe,Kosovo,,eu
Kuwait,Middle East,Kuwait,,
Kyrgyz Republic,Asia,Kyrgyz Republic,,as
Lao PDR,Asia,Lao PDR,,as
Latvia,Europe,Latvia,,eu
Lebanon,Middle East,Lebanon,,
Lesotho,Africa,Lesotho,,af
Liberia,Africa,Liberia,,af
Libya,Africa,Libya,,af
Liechtenstein,Europe,Liechtenstein,,eu
Lithuania,Europe,Lithuania,,eu
Luxembourg,Europe,Luxembourg,,eu
Macao,Asia,Macao,,as
"Macao SAR, China",Asia,"Macao SAR, China",,as
Macedonia,Europe,Macedonia,,eu
"Macedonia, FYR",Europe,"Macedonia, FYR",,eu
Madagascar,Africa,Madagascar,,af
Malawi,Africa,Malawi,,af
Malaysia,Asia,Malaysia,,as
Maldives,Asia,Maldives,,as
Mali,Africa,Mali,,af
Malta,Europe,Malta,,eu
Marshall Islands,Oceania,Marshall Islands,,oc
Mauritania,Africa,Mauritania,,af
Mauritius,Africa,Mauritius,,af
Mexico,South America,Mexico,,sa
"Micronesia, Fed. Sts.",Oceania,"Micronesia, Fed. Sts.",,oc
Moldova,Europe,Moldova,,eu
Monaco,Europe,Monaco,,eu
Mongolia,Asia,Mongolia,,as
Montenegro,Europe,Montenegro,,eu
Morocco,Africa,Morocco,,af
Mozambique,Africa,Mozambique,,af
Myanmar,Asia,Myanmar,,as
Namibia,Africa,Namibia,,af
Nepal,Asia,Nepal,,as
Netherlands,Europe,Netherlands,,eu
New Caledonia,Oceania,New Caledonia,,oc
New Zealand,Oceania,New Zealand,,oc
Nicaragua,South America,Nicaragua,,sa
Niger,Africa,Niger,,af
Nigeria,Africa,Nigeria,,af
Norway,Europe,Norway,,eu
Oman,Middle East,Oman,,
Pakistan,Asia,Pakistan,,as
Panama,South America,Panama,,sa
Papua New Guinea,Oceania,Papua New Guinea,,oc
Paraguay,South America,Paraguay,,sa
Peru,South America,Peru,,sa
Philippines,Asia,Philippines,,as
Poland,Europe,Poland,,eu
Portugal,Europe,Portugal,,eu
Puerto Rico,South America,Puerto Rico,,sa
Qatar,Middle East,Qatar,,
Romania,Europe,Romania,,eu
Russia,Europe,Russia,RU,eu
Russian,Europe,Russia,RU,eu
Russian Federation,Europe,Russian Federation,RU,eu
Rwanda,Africa,Rwanda,,af
Samoa,Oceania,Samoa,,oc
San Marino,Europe,San Marino,,eu
Sao Tome and Principe,Africa,Sao Tome and Principe,,af
Saudi Arabia,Middle East,Saudi Arabia,,
Senegal,Africa,Senegal,,af
Serbia,Europe,Serbia,,eu
Seychelles,Africa,Seychelles,,af
Sierra Leone,Africa,Sierra Leone,,af
Singapore,Asia,Singapore,,as
Sint Maarten (Dutch part),South America,Sint Maarten (Dutch part),,sa
Slovak Republic,Europe,Slovak Republic,,eu
Slovenia,Europe,Slovenia,,eu
Solomon Islands,Oceania,Solomon Islands,,oc
Somalia,Africa,Somalia,,af
South Africa,Africa,South Africa,,af
South Sudan,Africa,South Sudan,,af
Spain,Europe,Spain,,eu
Sri Lanka,Asia,Sri Lanka,,as
St. Kitts and Nevis,South America,St. Kitts and Nevis,,sa
St. Lucia,South America,St. Lucia,,sa
St. Martin (French part),South America,St. Martin (French part),,sa
St. Vincent and the Grenadines,South America,St. Vincent and the Grenadines,,sa
Sudan,Africa,Sudan,,af
Suriname,South America,Suriname,,sa
Swaziland,Africa,Swaziland,,af
Sweden,Europe,Sweden,,eu
Switzerland,Europe,Switzerland,,eu
Syrian Arab Republic,Middle East,Syrian Arab Republic,,
Tajikistan,Asia,Tajikistan,,as
Tanzania,Africa,Tanzania,,af
Thailand,Asia,Thailand,,as
Timor-Leste,Asia,Timor-Leste,,as
Togo,Africa,Togo,,af
Tonga,Oceania,Tonga,,oc
Trinidad and Tobago,South America,Trinidad and Tobago,,sa
Tunisia,Africa,Tunisia,,af
Turkey,Europe,Turkey,,eu
Turkmenistan,Asia,Turkmenistan,,as
Turks and Caicos Islands,South America,Turks and Caicos Islands,,sa
UK,Europe,UK,UK,eu
USA,North America,USA,US,na
Uganda,Africa,Uganda,,af
Ukraine,Europe,Ukraine,,eu
United Arab Emirates,Middle East,United Arab Emirates,,
United Kingdom,Europe,UK,GB,eu
United States,North America,United States,US,na
Uruguay,South America,Uruguay,,sa
Uzbekistan,Asia,Uzbekistan,,as
Vanuatu,Oceania,Vanuatu,,oc
"Venezuela, RB",South America,"Venezuela, RB",,sa
Vietnam,Asia,Vietnam,VN,as
Virgin,South America,Virgin Islands,,sa
Virgin Islands (U.S.),South America,Virgin Islands (U.S.),,sa
"Yemen, Rep.",Middle East,"Yemen, Rep.",,
Zambia,Africa,Zambia,,af
Zimbabwe,Africa,Zimbabwe,,af
UK,Europe,Â£,UK,eu
United States,North America,N America,US,na
Global,World,Gbl,,
United States,North America,US ,US,na
UK,Europe,FTSE,UK,eu
United States,North America,America,US,na
United States,North America,Amer,US,na
BRIC,BRIC,Emerging,,
BRIC,BRIC,Emerg,,
Asia,Asia,Pacific,JP,as
South America,South America,Latin America,BR,sa
Africa,Africa,Africa,SA,af
Vietnam,Asia,South East Asia,VN,as
Global,World,Worldwide,ZA,
